
🎯 **Evaluation Metrics:**
✅ Accuracy: 0.9000
✅ Macro Precision: 0.9028
✅ Macro Recall: 0.9000
✅ Macro F1-score: 0.8956

**Predictions:**
📄 Text: #costarica #extraordinaryevents #huracan #neverin200years #disasters... | 🖼 Image: ./split_dataset/test/flood/images/disasters_2017-10-06_16-31-04.jpg | ✅ True: flood | 🔍 Predicted: flood
📄 Text: Yemen girls that look like this are being stolen from their mothers and sold into human traffickers for sex. Isis says if their eyes are blue or green they are sold at a premium rate. Crimes agsingts ... | 🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-04-26_00-37-04.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
📄 Text: A Mother Says Goodbye To Her Child Who Was Killed By Houthie Militias On May 25, 2017 In #taiz #Yemen #childrenofyemen #ForgottenChildrenofyemen #silenceisawarcrime #Forgottenyemen  #Prayforyemen #yem... | 🖼 Image: ./split_dataset/test/human_damage/images/yemencrisis_2017-06-29_02-43-35.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
📄 Text: Another tragedy this Syrian lady, Just  landed in one of the Greek islands with her kids......she left everything behind.......the fear of death .....the war in Syria makes you believe that the only s... | 🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-19_17-03-56.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
📄 Text: The sight of every injured Syrian child angers me. The scars on this child face are not due to war, they are much deeper due to the lack of humanity. People of the world where is your heart, people of... | 🖼 Image: ./split_dataset/test/human_damage/images/isiscrimes_2015-08-21_05-20-04.jpg | ✅ True: human_damage | 🔍 Predicted: human_damage
📄 Text: Storage shed fire near 6100 E 28th St N. Firefighters did a great job keeping the fire from spreading to the adjacent mobile homes! #tfd #tulsa #918 #buildingfire... | 🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-03-07_00-21-22.jpg | ✅ True: fires | 🔍 Predicted: fires
📄 Text: God Bless and Protect our @bostonfire fighters.  #fire #buildingfire #firefighters  #charlestown  #boston #bostonfire #hometown #cradleofliberty #igersboston #igersma #igersusa #igersnewengland #scene... | 🖼 Image: ./split_dataset/test/fires/images/buildingfire_2016-07-22_03-33-25.jpg | ✅ True: fires | 🔍 Predicted: fires
📄 Text: #hellwashere #fire #fires #woods  #burnedwoods #forrestfire #forrestburn #ourhomeonfire #galiciaonfire #galicia #startover #naturelovers #getautentictreesback #worktodo #mountainlifestyle #mountainlif... | 🖼 Image: ./split_dataset/test/fires/images/forrestfire_2017-10-16_13-42-10.jpg | ✅ True: fires | 🔍 Predicted: damaged_nature
📄 Text: Maplewood NJ Tower Ladder 31 on scene of a major 6 alarm structure fire early yesterday morning.  #fire #Firetruck #Firetrucks #Fireengine #fireengines #firerescue #firedept #firedepartment #firefight... | 🖼 Image: ./split_dataset/test/fires/images/buildingfire_2017-02-05_19-31-24.jpg | ✅ True: fires | 🔍 Predicted: fires
📄 Text: Before entering a structure why is bleeding the line important? . What does it tell the nozzle team? . What does it tell the chauffeur/engineer? . Comment below! Let's learn together 👊🏻 . . . Photo Cr... | 🖼 Image: ./split_dataset/test/fires/images/buildingfire_2016-08-23_02-45-51.jpg | ✅ True: fires | 🔍 Predicted: fires
📄 Text: Happy Monday.....🇻🇮💪🐃😎💯❤ #HurricaneIrma #HurricaneMaria #USVIRECOVERY #VISTRONG #LoveCityStrong #CommUNITY #ViDisasterRelief... | 🖼 Image: ./split_dataset/test/damaged_nature/images/hurricaneirma_2017-11-20_20-44-38.jpg | ✅ True: damaged_nature | 🔍 Predicted: non_damage
📄 Text: 3 years ago, I got to tour #mountmeager #volcano with world class #volcanologists on a #gsa field trip. What an amazing experience, that fueled my desire to pursue #volcanology. This is me (bottom rig... | 🖼 Image: ./split_dataset/test/damaged_nature/images/landslide_2017-10-20_02-11-56.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_nature
📄 Text: #sandydamage... | 🖼 Image: ./split_dataset/test/damaged_nature/images/sandydamage_2012-10-30_23-02-16.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_nature
📄 Text: Vico Lake during the drought that hit Italy in the summer of 2017.  #lagodivico #lazio #ig_lazio #igerslazio #igersterni #igersumbria #igersitalia #igersitaly #landscape #panorama #lake #lago #italian... | 🖼 Image: ./split_dataset/test/damaged_nature/images/drought_2017-11-18_15-07-42.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_nature
📄 Text: Ouch!!! #treesfalling #vancouver #vancity #gladitsnotmycar... | 🖼 Image: ./split_dataset/test/damaged_nature/images/treesfalling_2017-10-20_02-08-22.jpg | ✅ True: damaged_nature | 🔍 Predicted: damaged_infrastructure
