
🎯 **Evaluation Metrics:**
✅ Accuracy: 0.2098
✅ Precision: 0.6502
✅ Recall: 0.2098
✅ F1-score: 0.1175

**Test Sample Predictions:**
🖼 Image: ./split_dataset/test/flood/images/hurricaneirma_2017-11-21_20-09-53.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-03_17-56-58.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-06-07_15-20-58.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/disasters_2017-10-05_23-09-45.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-05-23_07-46-34.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-07-04_13-20-21.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-29_14-08-33.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-09-28_18-05-46.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-09_14-41-23.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-06-25_22-11-02.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/hurricanesandy_2017-10-29_15-31-32.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/hurricanematthew_2017-10-09_08-24-42.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-05-27_13-17-16.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-09_15-38-39.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-27_17-45-38.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/hurricaneirma_2017-11-21_01-25-16.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/sandydamage_2012-10-30_16-53-08.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/hurricanesandy_2017-10-25_23-06-33.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-06_09-35-46.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/hurricaneharvey_2017-10-27_05-22-06.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-22_09-02-32.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-23_01-09-07.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/hurricanesandy_2017-10-30_01-41-42.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/hurricanematthew_2017-11-14_15-54-45.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/sandydamage_2013-03-30_19-58-57.jpg | ✅ True: flood | 🔍 Predicted: damaged_infrastructure
🖼 Image: ./split_dataset/test/flood/images/disasters_2017-11-23_03-23-19.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-29_20-47-54.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-09-01_13-38-30.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-09_18-08-30.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-07-30_00-08-36.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-08-02_08-15-06.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-31_06-19-18.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-11_10-57-15.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-08-27_18-37-35.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-14_22-46-26.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/accrafloods_2016-06-11_12-04-30.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/flood/images/floodwater_2017-06-09_05-25-26.jpg | ✅ True: flood | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-06-15.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_10-31-35.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-10-15.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_09-08-45.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_12-54-13.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_11-30-16.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-25-33.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_07-19-12.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_12-43-00.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_02-38-14.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_04-05-29.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_09-31-36.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_16-50-49.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/cars_2017-10-30_17-48-13.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_07-30-45.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_04-33-56.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_09-30-17.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_05-55-29.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_12-17-00.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/cars_2017-10-30_17-48-51.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_02-56-05.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_07-34-12.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/nature_2017-10-30_17-45-52.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-00-21.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_02-43-26.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_05-21-58.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/nature_2017-10-30_17-45-57.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-28-03.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_09-59-31.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_02-01-19.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_16-55-04.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_12-51-33.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_08-42-57.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_02-06-32.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-36-08.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_07-05-56.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_04-25-08.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_02-28-02.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/food_2017-11-23_23-10-43.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-31-51.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_10-38-00.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_03-46-09.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_04-16-33.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/nature_2017-10-30_17-46-27.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_04-41-00.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_09-33-00.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_07-57-07.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_04-19-53.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_09-31-11.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_09-55-31.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_08-12-13.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-33-47.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_09-30-51.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-13-59.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/nature_2017-10-30_17-47-13.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-10-51.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_10-45-05.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-32-37.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_16-52-15.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-31-01.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_01-55-51.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_03-30-41.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/nature_2017-10-30_17-48-19.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_03-56-58.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-47-43.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_02-22-22.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_05-00-35.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/cars_2017-10-30_17-49-20.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/nature_2017-10-30_17-47-30.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_11-38-18.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_07-26-34.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-05-52.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_05-50-59.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_07-42-06.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_03-00-43.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_16-52-30.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-41-49.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/nature_2017-10-30_17-46-36.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_05-17-58.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/nature_2017-10-30_21-52-13.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_06-59-40.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/nature_2017-10-30_21-52-45.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-45-51.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-00-00.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-33-39.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_11-51-21.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-23-40.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_17-19-06.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_03-59-26.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_10-38-44.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_08-39-39.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_08-51-35.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/building_2017-10-30_16-48-51.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_02-03-28.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_02-54-37.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_08-48-57.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_03-08-08.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
🖼 Image: ./split_dataset/test/non_damage/images/ad_2017-11-25_06-43-24.jpg | ✅ True: non_damage | 🔍 Predicted: non_damage
